id_conexion,segmento_origen,segmento_destino,puerto,protocolo,volumen_mb_sesion,frecuencia_dia,hora_predominante,duracion_seg,servicio_negocio,etiqueta_real,destino_externo,puerto_no_estandar
CX325,SEG_PAGOS,SEG_SERVIDORES,443,tcp,47.2,57.1,14.5,77.2,conciliación de pagos,benigna,0,0
CX468,SEG_DMZ,EXTERNO,443,tcp,57.6,38.1,13.9,232.5,servicios publicados,benigna,1,0
CX084,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,54.9,56.5,7.9,159.5,intranet,benigna,0,0
CX424,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,81.0,67.0,10.0,166.8,carpeta compartida,benigna,0,0
CX425,SEG_USUARIOS,EXTERNO,443,tcp,76.3,55.5,16.5,57.2,navegación web,benigna,1,0
CX349,SEG_USUARIOS,EXTERNO,443,tcp,65.3,95.2,11.3,89.6,navegación web,benigna,1,0
CX100,SEG_USUARIOS,SEG_DMZ,443,tcp,63.2,43.3,12.1,68.3,correo web,benigna,0,0
CX125,SEG_BASES,SEG_SERVIDORES,1433,tcp,21.4,31.6,7.6,97.4,respuesta de base de datos,benigna,0,0
CX220,SEG_SERVIDORES,EXTERNO,25,tcp,28.2,115.0,12.3,85.2,correo saliente,benigna,1,0
CX401,SEG_SERVIDORES,SEG_DMZ,443,tcp,36.9,94.9,9.5,122.3,publicación de servicios,benigna,0,0
CX088,SEG_SERVIDORES,EXTERNO,25,tcp,99.1,55.3,11.6,105.7,correo saliente,benigna,1,0
CX569,SEG_USUARIOS,EXTERNO,443,tcp,56.1,95.5,14.8,150.8,navegación web,benigna,1,0
CX248,SEG_SERVIDORES,SEG_DMZ,443,tcp,31.7,51.2,16.1,51.3,publicación de servicios,benigna,0,0
CX418,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,69.7,46.1,11.4,140.9,escritorio remoto,benigna,0,0
CX131,SEG_DMZ,SEG_SERVIDORES,443,tcp,29.1,54.3,12.8,66.1,retorno de servicios,benigna,0,0
CX075,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,78.2,90.5,11.9,84.5,intranet,benigna,0,0
CX137,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,33.9,27.1,13.7,93.2,administración remota,benigna,0,0
CX589,SEG_SERVIDORES,SEG_BASES,3306,tcp,17.9,13.9,14.6,73.2,"migración concluida, sin uso",benigna,0,1
CX017,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,73.1,20.0,13.3,109.2,administración remota,benigna,0,0
CX114,SEG_ADMIN,SEG_BASES,22,tcp,18.5,40.1,12.4,165.2,mantenimiento de base de datos,benigna,0,0
CX008,SEG_DMZ,EXTERNO,443,tcp,86.1,78.2,11.4,114.7,servicios publicados,benigna,1,0
CX528,SEG_DMZ,EXTERNO,443,tcp,6.4,122.7,8.3,208.5,servicios publicados,benigna,1,0
CX411,SEG_SERVIDORES,SEG_DMZ,443,tcp,30.4,86.0,15.3,94.5,publicación de servicios,benigna,0,0
CX170,SEG_DMZ,EXTERNO,443,tcp,40.5,77.8,16.3,103.8,servicios publicados,benigna,1,0
CX446,SEG_SERVIDORES,EXTERNO,53,udp,15.0,3.6,12.9,152.2,consulta de nombres,benigna,1,0
CX068,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,23.0,111.2,13.5,64.6,intranet,benigna,0,0
CX514,SEG_USUARIOS,SEG_DMZ,443,tcp,49.5,82.8,10.1,32.2,correo web,benigna,0,0
CX433,SEG_PAGOS,SEG_SERVIDORES,443,tcp,21.8,78.6,11.4,145.7,conciliación de pagos,benigna,0,0
CX271,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,30.9,95.2,13.2,72.8,administración remota,benigna,0,0
CX267,SEG_DMZ,EXTERNO,443,tcp,6.9,23.7,10.4,18.2,servicios publicados,benigna,1,0
CX254,SEG_USUARIOS,EXTERNO,443,tcp,51.1,149.1,10.7,128.8,navegación web,benigna,1,0
CX222,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,74.7,56.6,14.1,130.5,carpeta compartida,benigna,0,0
CX397,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,75.6,119.6,11.7,158.6,administración remota,benigna,0,0
CX543,SEG_DMZ,SEG_SERVIDORES,443,tcp,62.3,28.6,6.2,165.3,retorno de servicios,benigna,0,0
CX534,SEG_DMZ,EXTERNO,443,tcp,22.8,41.8,13.0,28.8,servicios publicados,benigna,1,0
CX407,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,67.1,30.7,9.1,92.6,escritorio remoto,benigna,0,0
CX443,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,62.7,65.4,11.5,88.6,administración remota,benigna,0,0
CX279,SEG_USUARIOS,SEG_DMZ,443,tcp,62.5,5.2,16.8,106.8,correo web,benigna,0,0
CX189,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,67.3,49.4,14.9,177.2,intranet,benigna,0,0
CX522,SEG_PAGOS,SEG_SERVIDORES,443,tcp,50.7,59.7,10.5,12.6,conciliación de pagos,benigna,0,0
CX244,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,59.2,63.8,10.0,151.5,portal interno,benigna,0,0
CX496,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,55.2,59.5,11.1,85.5,portal interno,benigna,0,0
CX221,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,20.9,5.9,8.3,101.6,administración remota,benigna,0,0
CX394,SEG_ADMIN,SEG_BASES,22,tcp,49.7,77.4,10.8,86.4,mantenimiento de base de datos,benigna,0,0
CX582,SEG_SERVIDORES,EXTERNO,443,tcp,1250.0,1.0,2.0,640.0,"planilla, pago de salarios",benigna,1,0
CX021,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,56.5,81.7,12.1,51.5,intranet,benigna,0,0
CX503,SEG_DMZ,SEG_SERVIDORES,443,tcp,74.9,58.6,10.3,110.8,retorno de servicios,benigna,0,0
CX413,SEG_ADMIN,SEG_BASES,22,tcp,76.8,75.6,12.9,84.2,mantenimiento de base de datos,benigna,0,0
CX366,SEG_SERVIDORES,SEG_DMZ,443,tcp,41.1,35.0,13.4,193.8,publicación de servicios,benigna,0,0
CX288,SEG_SERVIDORES,SEG_BASES,1433,tcp,67.3,93.6,11.8,149.8,consulta de base de datos,benigna,0,0
CX431,SEG_SERVIDORES,SEG_DMZ,443,tcp,61.0,18.5,11.6,79.3,publicación de servicios,benigna,0,0
CX118,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,45.4,119.1,9.7,227.8,administración remota,benigna,0,0
CX541,SEG_SERVIDORES,EXTERNO,53,udp,10.3,113.5,12.1,139.5,consulta de nombres,benigna,1,0
CX204,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,8.0,63.3,13.9,111.0,portal interno,benigna,0,0
CX263,SEG_DMZ,EXTERNO,443,tcp,37.9,61.8,19.6,80.9,servicios publicados,benigna,1,0
CX357,SEG_SERVIDORES,SEG_DMZ,443,tcp,50.8,19.4,17.1,104.3,publicación de servicios,benigna,0,0
CX106,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,41.0,86.4,12.2,78.7,administración remota,benigna,0,0
CX458,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,52.6,15.7,9.8,119.6,carpeta compartida,benigna,0,0
CX201,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,53.5,35.9,5.9,156.6,escritorio remoto,benigna,0,0
CX590,SEG_SERVIDORES,SEG_BASES,1521,tcp,13.5,12.0,9.2,101.3,"migración concluida, sin uso",benigna,0,1
CX461,SEG_SERVIDORES,EXTERNO,53,udp,18.1,96.9,8.5,71.4,consulta de nombres,benigna,1,0
CX316,SEG_BASES,SEG_SERVIDORES,1433,tcp,15.4,20.9,11.1,126.3,respuesta de base de datos,benigna,0,0
CX087,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,39.8,33.5,16.3,91.4,administración remota,benigna,0,0
CX527,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,77.7,94.7,9.7,144.2,carpeta compartida,benigna,0,0
CX312,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,79.5,33.7,10.9,120.8,escritorio remoto,benigna,0,0
CX256,SEG_USUARIOS,EXTERNO,443,tcp,56.2,48.4,8.3,48.4,navegación web,benigna,1,0
CX163,SEG_ADMIN,SEG_BASES,22,tcp,14.6,78.7,10.2,27.3,mantenimiento de base de datos,benigna,0,0
CX317,SEG_SERVIDORES,SEG_DMZ,443,tcp,9.2,48.2,9.5,47.7,publicación de servicios,benigna,0,0
CX136,SEG_BASES,SEG_SERVIDORES,1433,tcp,64.2,44.2,14.0,118.0,respuesta de base de datos,benigna,0,0
CX116,SEG_SERVIDORES,EXTERNO,53,udp,31.0,27.9,14.4,92.9,consulta de nombres,benigna,1,0
CX422,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,90.2,88.0,5.4,127.4,escritorio remoto,benigna,0,0
CX360,SEG_SERVIDORES,EXTERNO,25,tcp,74.9,31.2,13.1,84.1,correo saliente,benigna,1,0
CX493,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,93.4,56.7,11.8,105.9,portal interno,benigna,0,0
CX369,SEG_SERVIDORES,EXTERNO,53,udp,30.3,21.9,10.4,98.7,consulta de nombres,benigna,1,0
CX022,SEG_SERVIDORES,SEG_BASES,1433,tcp,53.2,89.3,9.4,98.7,consulta de base de datos,benigna,0,0
CX015,SEG_DMZ,SEG_SERVIDORES,443,tcp,10.9,61.3,15.6,59.0,retorno de servicios,benigna,0,0
CX379,SEG_BASES,SEG_SERVIDORES,1433,tcp,3.8,93.4,8.5,121.7,respuesta de base de datos,benigna,0,0
CX185,SEG_SERVIDORES,SEG_DMZ,443,tcp,12.8,3.0,15.6,24.7,publicación de servicios,benigna,0,0
CX376,SEG_DMZ,SEG_SERVIDORES,443,tcp,92.4,74.6,14.2,85.8,retorno de servicios,benigna,0,0
